Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.001,,,
Horizontal Delay,0.00357,,,
Sample Interval,1e-06,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,2,5,10,0.002
Vertical Position,-3,-1.04,-0.94,0.98
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-1.083000e-03,0.0234375,-0.0148437,0.167188,-0.00108125
-1.082000e-03,-0.0015625,-0.0171875,0.342187,-0.00113656
-1.081000e-03,0.0134375,-0.0148437,0.24375,-0.00108125
-1.080000e-03,-0.00625,0.0351562,0.270312,-0.00116063
-1.079000e-03,0.00875,-0.053125,0.245313,-0.00108156
-1.078000e-03,-0.0015625,-0.00390625,0.16875,-0.00102594
-1.077000e-03,0.0034375,0.00859375,0.242188,-0.00108656
-1.076000e-03,-0.03125,0.0226562,0.120313,-0.000775938
-1.075000e-03,0.0090625,-0.0789063,0.170312,-0.000955938
-1.074000e-03,0.0090625,0.021875,0.217187,-0.00110156
-1.073000e-03,0.0184375,0.00859375,0.167188,-0.000921563
-1.072000e-03,0.00375,0.0601562,0.217187,-0.000961563
-1.071000e-03,0.0084375,0.009375,0.26875,-0.00078625
-1.070000e-03,0.0034375,-0.040625,0.167188,-0.000871563
-1.069000e-03,0.0034375,-0.078125,0.190625,-0.000911563
-1.068000e-03,0.01375,-0.065625,0.267188,-0.00090125
-1.067000e-03,-0.0059375,-0.0148437,0.220313,-0.000930625
-1.066000e-03,0.00875,0.0453125,0.26875,-0.00095625
-1.065000e-03,0.0134375,-0.003125,0.167188,-0.00102156
-1.064000e-03,0.00875,0.0335937,0.142188,-0.00103625
-1.063000e-03,0.0040625,-0.0398438,0.26875,-0.00089125
-1.062000e-03,-0.00625,-0.0171875,0.315625,-0.00088125
-1.061000e-03,-0.0115625,-0.0171875,0.315625,-0.000701875
-1.060000e-03,0.0034375,0.0226562,0.19375,-0.00097625
-1.059000e-03,-0.0115625,0.0101562,0.270312,-0.00089125
-1.058000e-03,0.0184375,-0.065625,0.167188,-0.00088625
-1.057000e-03,0.02375,0.059375,0.31875,-0.00094125
-1.056000e-03,0.0184375,-0.0898438,0.142188,-0.00101656
