Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.001,,,
Horizontal Delay,0.00357,,,
Sample Interval,1e-06,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,2,5,10,0.002
Vertical Position,-3,-1.04,-0.94,0.98
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-1.207000e-03,0.0184375,-0.0171875,0.19375,-0.000656563
-1.206000e-03,0.03375,-0.115625,0.24375,-0.00053625
-1.205000e-03,0.0234375,-0.028125,0.192187,-0.00055125
-1.204000e-03,0.024375,-0.078125,0.09375,-0.000535938
-1.203000e-03,0.0240625,-0.0390625,0.167188,-0.00065625
-1.202000e-03,0.0084375,-0.0539062,0.165625,-0.000736563
-1.201000e-03,-0.0009375,-0.0289063,0.267188,-0.000821563
-1.200000e-03,0.009375,-0.0148437,0.246875,-0.00073625
-1.199000e-03,0.0234375,-0.078125,0.142188,-0.00072125
-1.198000e-03,0.0084375,-0.090625,0.142188,-0.000681875
-1.197000e-03,0.0184375,-0.0164063,0.142188,-0.000876563
-1.196000e-03,0.018125,-0.0789063,0.19375,-0.000781875
-1.195000e-03,-0.0003125,-0.0265625,0.273438,-0.000895938
-1.194000e-03,0.0090625,-0.0523438,0.245313,-0.000970938
-1.193000e-03,0.0190625,-0.0664062,0.16875,-0.000786875
-1.192000e-03,0.0284375,-0.028125,0.19375,-0.00075125
-1.191000e-03,0.0190625,-0.0539062,0.192187,-0.000801563
-1.190000e-03,0.0134375,-0.015625,0.14375,-0.00083625
-1.189000e-03,0.0034375,-0.078125,0.24375,-0.00078625
-1.188000e-03,0.02875,0.0476563,0.220313,-0.00063625
-1.187000e-03,0.0090625,-0.0148437,0.06875,-0.000735625
-1.186000e-03,0.0284375,-0.103906,0.217187,-0.000826875
-1.185000e-03,0.023125,-0.0414063,0.242188,-0.000966875
-1.184000e-03,0.0040625,-0.0289063,0.242188,-0.000855938
-1.183000e-03,0.023125,-0.015625,0.0921875,-0.00097625
-1.182000e-03,0.0134375,-0.00390625,0.292188,-0.00096125
-1.181000e-03,0.02875,-0.0148437,0.11875,-0.00112156
-1.180000e-03,0.008125,-0.0046875,0.242188,-0.00110156
-1.179000e-03,0.0140625,-0.078125,0.14375,-0.000915938
-1.178000e-03,0.01375,-0.00390625,0.192187,-0.000766563
-1.177000e-03,0.0134375,-0.015625,0.195312,-0.000835938
-1.176000e-03,0.03875,-0.053125,0.170312,-0.00088625
-1.175000e-03,0.0084375,-0.015625,0.31875,-0.00067125
-1.174000e-03,0.01375,-0.053125,0.220313,-0.00079625
-1.173000e-03,0.01875,-0.015625,0.16875,-0.00091125
-1.172000e-03,0.034375,-0.003125,0.120313,-0.000930625
-1.171000e-03,0.0234375,-0.0164063,0.220313,-0.00102156
-1.170000e-03,0.01875,-0.0414063,0.0921875,-0.000886563
-1.169000e-03,0.0084375,-0.0414063,0.16875,-0.000886563
-1.168000e-03,0.03375,-0.0398438,0.14375,-0.00067625
-1.167000e-03,0.01875,-0.028125,0.14375,-0.00078125
-1.166000e-03,0.02875,-0.065625,0.0921875,-0.000881875
-1.165000e-03,0.0134375,-0.0171875,0.217187,-0.00106156
-1.164000e-03,0.008125,-0.0539062,0.240625,-0.00111656
-1.163000e-03,0.034375,-0.0890625,0.170312,-0.000865938
-1.162000e-03,0.02375,-0.040625,0.195312,-0.00093125
-1.161000e-03,-0.001875,0.0078125,0.242188,-0.00087125
-1.160000e-03,0.01375,0.021875,0.24375,-0.000946875
-1.159000e-03,0.0434375,-0.028125,0.192187,-0.00092625
-1.158000e-03,0.0090625,-0.0273438,0.142188,-0.000820938
-1.157000e-03,0.0190625,-0.053125,0.16875,-0.00069125
-1.156000e-03,0.0240625,-0.00390625,0.09375,-0.000685938
-1.155000e-03,0.0290625,-0.028125,0.29375,-0.000810625
-1.154000e-03,0.0234375,-0.0289063,0.265625,-0.000866563
-1.153000e-03,0.02875,0.0351562,0.14375,-0.00080125
-1.152000e-03,0.0290625,-0.0515625,0.195312,-0.00071125
-1.151000e-03,0.0084375,-0.053125,0.26875,-0.000766563
-1.150000e-03,0.0234375,-0.0046875,0.140625,-0.00093125
-1.149000e-03,-0.0009375,-0.0140625,0.24375,-0.00073125
-1.148000e-03,0.00875,0.0078125,0.215625,-0.000856875
-1.147000e-03,0.00875,-0.0296875,0.192187,-0.00073125
-1.146000e-03,0.0284375,-0.0164063,0.24375,-0.000771875
-1.145000e-03,0.04375,-0.053125,0.120313,-0.000885938
-1.144000e-03,0.02375,-0.028125,0.292188,-0.00088625
-1.143000e-03,0.02875,-0.00390625,0.167188,-0.00083125
-1.142000e-03,0.0090625,0.0226562,0.270312,-0.00082125
-1.141000e-03,0.03375,-0.028125,0.192187,-0.000996563
-1.140000e-03,0.009375,-0.0523438,0.14375,-0.00106563
